Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT05003960	Safety of Cultured Allogeneic Adult Umbilical Cord Derived Mesenchymal Stem Cell Intravenous Infusion for Autism		Recruiting	No Results Available	Autism	Biological: AlloRx	Safety (adverse events)|Efficacy: Autism Treatment Evaluation Checklist (ATEC)	The Foundation for Orthopaedics and Regenerative Medicine	All	Child, Adult, Older Adult	Phase 1	15	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SC-8-ATG-8-02	January 23, 2022	September 2025	September 2025	August 13, 2021		October 27, 2022	Medical Surgical Associates Center, St. John's, Antigua and Barbuda		https://ClinicalTrials.gov/show/NCT05003960
2	NCT03982290	Psychophysiological Effects of Lactobacillus Plantarum PS128 in Preschool Children With Autism Spectrum Disorder		Unknown status	No Results Available	Autism	Other: Probiotic, Lactobacillus plantarum PS128|Other: Placebo, microcrystalline cellulose	Changes from baseline of anxiety subscale in Children's Behavior Checklist (CBCL)/Achenbach System of Empirically Based Assessment (ASEBA) at week 8 and week 16|Changes from hyperactivity subscale of Attention-Deficit/Hyperactivity Disorder Test (ADHDT) at week 8 and week 16|Gastrointestinal symptoms recorded by using GI Severity Index (6-GSI) at week 8 and week 16|Change of total scores at week 8 and week 16 from baseline of Changes of Childhood Asperger Syndrome Test (CAST)|Change of total scores at week 8 and week 16 from baseline of Penn Interactive Peer Play Scale, (PIPPS)|Change of total scores at week 8 and week 16 from baseline of Social Interaction Assessment Scale|Comparison of Microbiota composition between week 8 and baseline	Mackay Memorial Hospital	All	30 Months to 7 Years   (Child)	Not Applicable	250	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	17MMHIS193e	October 1, 2018	December 2019	December 2020	June 11, 2019		June 11, 2019	Department of Pediatric Neurology, MacKay Children's Hospital, Taipei, Taiwan		https://ClinicalTrials.gov/show/NCT03982290
3	NCT01098383	Treatment With Acetyl-Choline Esterase Inhibitors in Children With Autism Spectrum Disorders		Unknown status	No Results Available	Autism	Drug: Acetyl-Choline Esterase Inhibitors and Choline supplements|Drug: Indistinguishable placebo tablets, matching both donepezil and choline	Core autistic symptoms (ATEC)|Side effects and adverse events questionnaire|Linguistic performance (CELF-4)|Adaptive functioning (Vineland-II)|Comorbid behaviors (CSI-4 questionnaire)|Executive functions (BRIEF questionnaire)	Sheba Medical Center|The Israeli Society of Clinical Pediatrics (HIPAK)	All	10 Years to 18 Years   (Child, Adult)	Phase 4	84	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	SHEBA-09-7151-LG-CTIL	March 2010	December 2017	December 2017	April 2, 2010		October 14, 2016	Sheba Medical Center, Tel Hashomer, Ramat Gan, Israel		https://ClinicalTrials.gov/show/NCT01098383
4	NCT01836562	A Clinical Trial to Study the Safety and Efficacy of Bone Marrow Derived Autologous Cells for the Treatment of Autism	BMCA	Unknown status	No Results Available	Autism	Biological: STEM CELL THERAPY	Improvement in childhood autism rating scale|Improvement in perfusion of brain with PET scan report	Chaitanya Hospital, Pune	All	3 Years to 70 Years   (Child, Adult, Older Adult)	Phase 1|Phase 2	100	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	00105	September 2014	June 2016	June 2016	April 22, 2013		September 17, 2014	Chaitanya Hospital, Pune, Maharashtra, India		https://ClinicalTrials.gov/show/NCT01836562
5	NCT03723876	Basic Body Awareness Therapy for Persons With Autism		Completed	No Results Available	Autism	Behavioral: Body awareness therapy	Change of experienced health problem from Numeric rating scale|Change of results of Body Awareness Scale Movement Quality and Experiences, BAS MQ-E	Lund University|Vastra Gotaland Region	All	15 Years to 30 Years   (Child, Adult)	Not Applicable	57	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Ingrid Bertilsson	May 1, 2018	June 15, 2022	June 15, 2022	October 30, 2018		July 1, 2022	Vuxenhabiliteringen, Vaxjo, Kronoberg, Sweden|Habiliteringen Vastra Gotalandsregionen, Skovde, Vastra Gotaland, Sweden		https://ClinicalTrials.gov/show/NCT03723876
6	NCT03786744	Allogenic Cord Blood Transfusion in Patients With Autism		Completed	Has Results	Autism Spectrum Disorder|Autism	Biological: ASD CB-MNC injection.|Other: Standard therapy.	A Number of Participants With Non-serious and Serious Adverse Events 24 Hrs Post-transfusion|Autism Treatment Evaluation Checklist (ATEC).|Cytokine Analysis.|Immune Status as Determined by Percentage of Peripheral Blood Cells|Immune Status as Determined by Absolute Cell Count of Peripheral Blood Cells	State-Financed Health Facility "Samara Regional Medical Center Dinasty"	All	3 Years to 15 Years   (Child)	Phase 1|Phase 2	20	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	12112018	October 12, 2018	October 12, 2019	December 12, 2019	December 26, 2018	November 19, 2020	November 19, 2020	Medical Centre Dinasty, Samara, Russian Federation	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/44/NCT03786744/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT03786744
7	NCT02807766	Brain Plasticity of Autism in Response to Early Behavioral Intervention: A Multimodal MRI Study		Unknown status	No Results Available	Autism	Behavioral: Behavior modification|Behavioral: Behavior modification and sensory integration training|Behavioral: Behavior modification and applied behavioral analysis|Behavioral: Behavior modification and TEACCH	Brain structural and functional change under behavioral intervention at 6 months in children with autism|Prediction model of intervention effect based on multimodal multivariate pattern analysis methods	University of Electronic Science and Technology of China	All	2 Years to 8 Years   (Child)	Not Applicable	150	Other	Interventional	Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Basic Science	UESTC-chenhuafulab-001	May 2016	December 2022	December 2022	June 21, 2016		January 18, 2020	Department of Children's and Adolescent Health, Public Health College of Harbin Medical University, Harbin, Heilongjiang, China|Center for Information in BioMedicine, Key laboratory for NeuroInformation of Ministry of Education, School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, Sichuan, China		https://ClinicalTrials.gov/show/NCT02807766
8	NCT03368001	Investigating Social Competence in Youth With Autism		Active, not recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: SENSE Theatre|Behavioral: Tackling Teenage Together	NEPSY Memory for Faces Delayed|Incidental Face Memory (IFM) Event-Related Potential (ERP) task|Social Responsiveness Scale (SRS)|Adaptive Behavior Scales for Children (ABAS)|Contextual Assessment of Social Skills (CASS)|Child Behavior Checklist (CBCL)	Vanderbilt University Medical Center	All	8 Years to 16 Years   (Child)	Not Applicable	405	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	171153	November 22, 2017	August 15, 2022	January 2023	December 11, 2017		August 29, 2022	University of Alabama, Tuscaloosa, Alabama, United States|Stony Brook University, Stony Brook, New York, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States	"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/01/NCT03368001/ICF_000.pdf	https://ClinicalTrials.gov/show/NCT03368001
9	NCT04533607	Modular Approach for Autism Programs in Schools	MAAPS	Recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: MAAPS	Change in score for Developmental Disability-Clinical Global Assessment Scale (DD-CGAS)|Change in rating for Teacher Nominated Target Problems (TNTP)|Change in score for Social Skills Improvement System (SSIS)|Change in score for Children's Communication Checklist, Second Edition (CCC-2)|Change in score for Children's Yale-Brown Obsessive-Compulsive Scales-ASD (CYBOCS-ASD)|Change in engaged time measured by Academic Engaged Time (AET)|Change in score for Adaptive Behavior Assessment System, Third Edition (ABAS-3)|Usage Rating Profile-Intervention, Revised (URP-IR)	May Institute|University of South Florida|University of Rochester	All	5 Years to 12 Years   (Child)	Not Applicable	120	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	R324A200154	November 4, 2020	June 2024	June 2024	August 31, 2020		February 24, 2021	University of South Florida, Tampa, Florida, United States|May Institute, Randolph, Massachusetts, United States|University of Rochester, Rochester, New York, United States		https://ClinicalTrials.gov/show/NCT04533607
10	NCT03467464	The Efficacy of EMDR in Youngsters With Autism	EYE-catcher	Unknown status	No Results Available	Autism Spectrum Disorder	Other: Eye Movement Desensitization and Reprocessing (EMDR)	Change in autism symptoms|Change in disease severity|Change in experienced stress|Change in general well-being|Change in working memory capacity	Karakter Kinder- en Jeugdpsychiatrie|Fonds Psychische Gezondheid	All	12 Years to 21 Years   (Child, Adult)	Not Applicable	20	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NL6002609116	December 1, 2017	December 2018	December 2018	March 16, 2018		March 16, 2018	Karakter kinder- en jeugdpsychiatrie, Nijmegen, Gelderland, Netherlands		https://ClinicalTrials.gov/show/NCT03467464
11	NCT05406076	the Efficacy of Oral Motor Therapy in Children With Autism		Not yet recruiting	No Results Available	Autism	Behavioral: oral motor therapy|Behavioral: ABA	Changes in the Verbal Behavior Milestones Assessment and Placement Program (VB-MAPP) scores|Changes in Assessment of Basic Language and Learning Skills-Revised (ABLLS-R) scores|Change in the Autism Behavior Scale (ABC) scores|Change in Childhood Autism Rating Scale (CARS) scores|Change in China Rehabilitation Research Center version of the Sign-Significance（S-S，CRRC version） scores	The First Affiliated Hospital of Anhui Medical University|Hefei Kanghua Rehabilitation Hospital|Hefei Jingu Rehabilitation Hospital	All	2 Years to 5 Years   (Child)	Not Applicable	80	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	WDX-05	December 1, 2022	June 1, 2023	August 1, 2023	June 6, 2022		October 27, 2022			https://ClinicalTrials.gov/show/NCT05406076
12	NCT05192993	Effect of Oculomotor Exercise on Writing Capabilities on Autism		Enrolling by invitation	No Results Available	Autism	Other: visual motor integration group|Other: Handwriting intervention programs|Other: visual motor integration program and Handwriting intervention programs	gaze stability|eye head coordination	Misr University for Science and Technology	All	5 Years to 8 Years   (Child)	Not Applicable	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	P.T.REC/012/003283	January 1, 2022	March 2022	March 2022	January 14, 2022		January 14, 2022	Misr university for science and technology, Cairo, Egypt		https://ClinicalTrials.gov/show/NCT05192993
13	NCT04861740	Autism Access Link for Early Referral and Treatment	Autism ALERT	Active, not recruiting	No Results Available	Autism Spectrum Disorder	Other: Autism ALERT|Other: Screening Intervention	Change in satisfaction with Care Coordination in general and for autism in particular|Change in Parent stress|Change in Parenting stress|Change in Family Empowerment|Change in Family Centered and Coordinated Care|Family Satisfaction with Program|% referred to program who complete an ASD educational evaluation within 6 months|Time from EI/ECSE referral to ASD treatment in EI/ECSE, among children with ASD|Family self-reported ASD knowledge|Change in provider self-efficacy about autism management|Change in provider autism paperwork burden|Time from EI/ECSE referral to evaluation among children with ASD|Age of EI/ECSE educational determination, among children with ASD|% with ASD determination receiving ASD services 6 months after enrollment|monthly service hours among children with ASD 6 months after enrollment|age of ASD medical diagnosis among children on Medicaid|% with ASD medical diagnosis receiving ASD therapy 6 months after enrollment, among children on Medicaid	Oregon Health and Science University|Boston Medical Center|Providence Health & Services	All	12 Months to 54 Months   (Child)	Not Applicable	148	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	00001	March 18, 2021	December 31, 2022	December 31, 2022	April 27, 2021		September 21, 2022	Ohsu Cdrc, Portland, Oregon, United States		https://ClinicalTrials.gov/show/NCT04861740
14	NCT04766177	Role of Bumetanide in Treatment of Autism		Recruiting	No Results Available	Autism	Drug: Bumetanide|Drug: Placebo	Number of patients with improved CARS score	Sherief Abd-Elsalam|Tanta University	All	3 Years to 12 Years   (Child)	Phase 3	80	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	autism	January 1, 2021	December 1, 2030	December 1, 2030	February 23, 2021		February 23, 2021	Sherief Abd-Elsalam, Tanta, Egypt		https://ClinicalTrials.gov/show/NCT04766177
15	NCT04246398	FMT in Children With Autism and Gastrointestinal Symptoms		Unknown status	No Results Available	Children With Autism	Other: FMT|Other: FMT - placebo	Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability])|Significant change in GI symptoms [efficiency]|Change in food selection [efficiency]|Improving ASD symptoms [efficiency]|Diversity and variability of the gut microbiome	Assaf Harofeh MC|Assaf-Harofeh Medical Center	All	7 Years to 20 Years   (Child, Adult)	Not Applicable	50	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	0052-19-ASF	February 2020	December 2022	December 2022	January 29, 2020		February 5, 2020	Assaf-HarofehMC, Zerifin, Israel		https://ClinicalTrials.gov/show/NCT04246398
