Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT01502488	Adipose Derived Stem Cell Therapy for Autism		Withdrawn	No Results Available	Autism	Procedure: Fat Harvesting and Stem Cell Injection	Improvement in the Childhood Autism Rating Scale，CARS|Improvement in the Clinical Global Impression Scale, CGI|Improvement in the Aberrant Behavior Checklist, ABC	Ageless Regenerative Institute|Instituto de Medicina Regenerativa	All	3 Years to 12 Years   (Child)	Phase 1|Phase 2	0	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ADI-AT-001	October 2016	November 2017	January 2018	December 30, 2011		July 21, 2017	Ageless Regenerative Institute LLC, Aventura, Florida, United States		https://ClinicalTrials.gov/show/NCT01502488
2	NCT01999894	Open-label Study of Safety and Tolerability of Memantine in Children With Autism		Completed	Has Results	Autism|Pediatric Autism	Drug: Memantine HCl	Number of Patients Who Experienced a Treatment-emergent Adverse Event (TEAE)	Forest Laboratories|Merz Pharmaceuticals GmbH	All	6 Years to 18 Years   (Child, Adult)	Phase 2	102	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	MEM-MD-67	November 2009	February 2013	February 2013	December 3, 2013	March 18, 2014	March 18, 2014	Forest Investigative Site 005, Phoenix, Arizona, United States|Forest Investigative Site 003, Sacramento, California, United States|Forest Investigative Site 021, San Francisco, California, United States|Forest Investigative Site 026, Santa Ana, California, United States|Forest Investigative Site 020, Santa Ana, California, United States|Forest Investigative Site 002, Stanford, California, United States|Forest Investigative Site 024, Jacksonville Beach, Florida, United States|Forest Investigative Site 007, St. Petersburg, Florida, United States|Forest Investigative Site 014, Hoffman Estates, Illinois, United States|Forest Investigative Site 023, Naperville, Illinois, United States|Forest Investigative Site 010, Indianapolis, Indiana, United States|Forest Investigative Site 025, Cambridge, Massachusetts, United States|Forest Investigative Site 011, Toms River, New Jersey, United States|Forest Investigative Site 006, Voorhees, New Jersey, United States|Forest Investigative Site 017, Manhasset, New York, United States|Forest Investigative Site 013, Cleveland, Ohio, United States|Forest Investigative Site 015, Cleveland, Ohio, United States|Forest Investigative Site 001, Columbus, Ohio, United States|Forest Investigative Site 019, Oklahoma, Oklahoma, United States		https://ClinicalTrials.gov/show/NCT01999894
3	NCT00872898	Study of Pharmacokinetics, Safety, Efficacy, and Tolerability of Memantine in Children With Autism		Completed	Has Results	Autism	Drug: Memantine - Extended Release (ER)|Drug: Placebo	Extent of Absorption of Memantine (Part One)|Change in Total Raw Score of Social Responsiveness Scale|Core Autism Treatment Scale-Improvement: Total Score|Core Autism Treatment Scale-Improvement: Social Interaction|Core Autism Treatment Scale-Improvement: Communication|Change in Children's Communication Checklist-2 (CCC-2) - Speech Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Syntax Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Semantics Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Coherence Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Initiation Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Scripted Language Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Context Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Nonverbal Communication Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Social Relations Subscale|Change in Children's Communication Checklist-2 (CCC-2) - Interests Subscale	Forest Laboratories|Merz Pharmaceuticals GmbH	All	6 Years to 18 Years   (Child, Adult)	Phase 2	124	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	MEM-MD-57A	April 2009	August 2012		March 31, 2009	January 14, 2014	January 14, 2014	Forest Investigative Site, Phoenix, Arizona, United States|Forest Investigative Site, Sacramento, California, United States|Forest Investigative Site, San Francisco, California, United States|Forest Investigative Site, Santa Ana, California, United States|Forest Investigative Site, Stanford, California, United States|Forest Investigative Site, Jacksonville Beach, Florida, United States|Forest Investigative Site, St Petersburg, Florida, United States|Forest Investigative Site, Hoffman Estates, Illinois, United States|Forest Investigative site, Naperville, Illinois, United States|Forest Investigative Site, Indianapolis, Indiana, United States|Forest Investigative Site, Cambridge, Massachusetts, United States|Forest Investigative Site, Toms River, New Jersey, United States|Forest Investigative Site, Voorhees, New Jersey, United States|Forest Investigative Site, Manhasset, New York, United States|Forest Investigative Site, Cleveland, Ohio, United States|Forest Investigative Site, Columbus, Ohio, United States|Forest Investigative Site, Oklahoma City, Oklahoma, United States		https://ClinicalTrials.gov/show/NCT00872898
4	NCT04258839	Brexpiprazole in Treatment of Children and Adolescents With Irritability Associated With Autism Spectrum Disorder for Subjects That Have Completed Participation in 331-201-00148		Unknown status	No Results Available	Irritability Associated With Autism Spectrum Disorder	Drug: Brexpiprazole	Adverse Events|Aberrant Behavior Checklist (ABC-I)|Clinical Global Impression (CGI-S)	Otsuka Pharmaceutical Development & Commercialization, Inc.|H. Lundbeck A/S	All	5 Years to 17 Years   (Child)	Phase 3	100	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	331-201-00191	January 17, 2020	August 20, 2022	August 20, 2022	February 6, 2020		May 28, 2020	For additional information regarding sites, Princeton, New Jersey, United States		https://ClinicalTrials.gov/show/NCT04258839
5	NCT04174365	Brexpiprazole in Treatment of Children and Adolescents With Irritability Associated With Autism Spectrum Disorder	Anchor	Unknown status	No Results Available	Irritability Associated With Autism Spectrum Disorder (ASD)	Drug: Brexpiprazole|Drug: Placebo	The mean change from baseline to Week 8 in the Aberrant Behavior Checklist- Irritability subscale score (ABC-I)|The mean change from baseline to Week 8 in the Clinical Global Impression- Severity of Illness Scale (CGI-S) score pertaining to irritability	Otsuka Pharmaceutical Development & Commercialization, Inc.|H. Lundbeck A/S	All	5 Years to 17 Years   (Child)	Phase 3	130	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	331-201-00148	October 30, 2019	February 23, 2022	February 23, 2022	November 22, 2019		May 28, 2020	For additional information regarding sites, Princeton, New Jersey, United States		https://ClinicalTrials.gov/show/NCT04174365
6	NCT02649959	An Open Label Study of CM-AT for the Treatment of Children With Autism		Active, not recruiting	No Results Available	Autism	Drug: CM-AT	Aberrant Behavioral Checklist: Subscale of Irritability / Agitation (ABC-I) at fecal chymotrypsin (FCT) levels less than or equal to 12.6|Aberrant Behavior Checklist: Subscale of Lethargy / Social Withdrawal (ABC-L) at fecal chymotrypsin (FCT) levels less than or equal to 12.6	Curemark	All	3 Years to 17 Years   (Child)	Phase 3	405	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	00104/Open Label-Autism	October 2015	January 2023	June 2023	January 8, 2016		August 3, 2022	Southwest Autism Research & Resource Center (S.A.R.R.C.), Phoenix, Arizona, United States|University of Arizona, Pediatrics Multidisciplinary Research Unit, Tucson, Arizona, United States|Arkansas Children'S Hosp. Research Institute (A.C.H.R.I.), Little Rock, Arkansas, United States|N.R.C. Research Institute, Orange, California, United States|M.I.N.D. Institute (Univ.of California, Davis), Sacramento, California, United States|University of California (U.C.S.F.), San Francisco, California, United States|IMMUNOe Research Centers, Centennial, Colorado, United States|Yale Child Study Center, New Haven, Connecticut, United States|Segal Institute For Clinical Research, North Miami, Florida, United States|Advent Health -Lake Mary Pediatrics, Orange City, Florida, United States|A.P.G. Research, Orlando, Florida, United States|Research Institute of Deaconess Clinic, Newburgh, Indiana, United States|Lake Charles Clinical Trials, Lake Charles, Louisiana, United States|L.S.U. Health Sciences Center, Shreveport, Louisiana, United States|Detroit Clinical Research Center, P.C., Bingham Farms, Michigan, United States|Children'S Specialized Hospital, Egg Harbor Township, New Jersey, United States|Barbara Enright, Toms River, New Jersey, United States|Clinical Research Center of Nj, Voorhees, New Jersey, United States|Lovelace Scientific Resources, Albuquerque, New Mexico, United States|Montefiore Med.Cneter, Autism & Obsessive Compulsive Spectrum Program, Bronx, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|Duke Center For Autism and Brain Development, Durham, North Carolina, United States|Cleveland Clinic Autism Center, Cleveland, Ohio, United States|Omega Medical Research, Warwick, Rhode Island, United States|Carolina Clinical Trials, Inc., Charleston, South Carolina, United States|Vanderbilt Universtiy Med.Center-Treatment&Research Inst. For Asd, Nashville, Tennessee, United States|University of Texas, Houston-Behavioral & Biomedical Sciences, Houston, Texas, United States|Focus Center of Clinical Research, Clinton, Utah, United States|University of Virginia, Dept. of Psychiatry and Neurobehavioral Sciences, Charlottesville, Virginia, United States|Neuroscience, Inc, Herndon, Virginia, United States|Carilion Clinic-Virginia Tech, Carilion School of Medicine, Roanoke, Virginia, United States		https://ClinicalTrials.gov/show/NCT02649959
7	NCT02410902	A Trial of CM-AT in Children With Autism With All Levels of FCT (The Blum Study)		Completed	Has Results	Autism	Drug: CM-AT|Drug: PLACEBO	Primary Outcome Measurements to Determine Efficacy of Treatment With CM-AT Versus Placebo for Changes in the Aberrant Behavior Checklist Subscale for Irritability / Agitation (ABC-I) Between Baseline and Week 12/Termination Visit|Secondary Outcome Measurements of Changes in the Aberrant Behavior Checklist Checklist Subscale for Lethargy / Social Withdrawal (ABC-L) Between Baseline and Week 12/Termination Visit	Curemark	All	3 Years to 8 Years   (Child)	Phase 3	190	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	00103	May 13, 2015	December 22, 2017	December 22, 2017	April 8, 2015	October 26, 2022	October 26, 2022	Southwest Autism Research & Resource Center (S.A.R.R.C.), Phoenix, Arizona, United States|University of Arizona, Pediatrics Multidisciplinary Research Unit, Tucson, Arizona, United States|Arkansas Children'S Hosp. Research Institute (A.C.H.R.I.), Little Rock, Arkansas, United States|N.R.C. Research Institute, Orange, California, United States|M.I.N.D. Institute (Univ.of California, Davis), Sacramento, California, United States|University of California (U.C.S.F.), San Francisco, California, United States|IMMUNOe RESEARCH CENTERS, Centennial, Colorado, United States|Yale Child Study Center, New Haven, Connecticut, United States|Segal Institute For Clinical Research, North Miami, Florida, United States|Florida Hospital Medical Group-Lake Mary Pediatrics, Orange City, Florida, United States|Kaley Kildahl, Orlando, Florida, United States|Research Institute of Deaconess Clinic, Evansville, Indiana, United States|Lake Charles Clinical Trials, Lake Charles, Louisiana, United States|L.S.U. Health Sciences Center, Shreveport, Louisiana, United States|Detroit Clinical Research Center, P.C., Bingham Farms, Michigan, United States|Children'S Specialized Hospital, Egg Harbor Township, New Jersey, United States|Children'S Specialized Hospital, Toms River, New Jersey, United States|Clinical Research Center of Nj, Voorhees, New Jersey, United States|Lovelace Scientific Resources, Albuquerque, New Mexico, United States|Montefiore Med.Center, Autism & Obsessive Compulsive Spectrum Prog., Bronx, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|Duke Center For Autism and Brain Development, Durham, North Carolina, United States|Cleveland Clinic, Center For Autism Research, Cleveland, Ohio, United States|Omega Medical Research, Warwick, Rhode Island, United States|Carolina Clinical Trials, Inc., Charleston, South Carolina, United States|Vanderbilt University Med.Center -Treatment & Research Inst. For Asd, Nashville, Tennessee, United States|University of Texas, Houston Dept. of Psychiatry and Behavioral Sciences, Houston, Texas, United States|Ericksen Research & Development, Clinton, Utah, United States|University of Virginia, Dept. of Psychiatry and Neurobehavioral Sciences, Charlottesville, Virginia, United States|Neuroscience, Inc., Herndon, Virginia, United States|Carilion Clinic-Virginia Tech, Carilion School of Medicine, Roanoke, Virginia, United States	"Study Protocol", https://ClinicalTrials.gov/ProvidedDocs/02/NCT02410902/Prot_000.pdf|"Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/02/NCT02410902/SAP_001.pdf	https://ClinicalTrials.gov/show/NCT02410902
8	NCT00881452	A Trial of CM-AT in Children With Autism	CM-AT	Completed	No Results Available	Autism	Drug: CM-AT|Drug: Placebo	Evidence of changes in behavior scales associated with the core symptoms of autism|Other key measures of behavior and quality of life associated with autism	Curemark	All	3 Years to 8 Years   (Child)	Phase 3	182	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	00101	May 2009	June 2011	September 2011	April 15, 2009		April 19, 2018	Southwest Autism Research and Resource Center, Phoenix, Arizona, United States|University of California, Davis, M.I.N.D. Institute, Sacramento, California, United States|University of California, San Francisco, San Francisco, California, United States|Neuropsychiatric Research Center of Orange County, Santa Ana, California, United States|Lake Mary Pediatrics, Orange City, Florida, United States|Institute for Behavioral Medicine, Smyrna, Georgia, United States|Alexian Brothers Center for Psychiatric Research, Hoffman Estates, Illinois, United States|Louisiana State University Health Science Center, Shreveport, Louisiana, United States|Saint Peters University Hospital, New Brunswick, New Jersey, United States|Mount Sinai School of Medicine, New York, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|Ohio State University, Columbus, Ohio, United States|Oklahoma University Child Study Center, Oklahoma City, Oklahoma, United States|Cyn3rgy Research, Gresham, Oregon, United States|Hershey Medical Center, Hershey, Pennsylvania, United States|Drexel University, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|University of Texas, Houston, Houston, Texas, United States|Westside Medical, Clinton, Utah, United States		https://ClinicalTrials.gov/show/NCT00881452
9	NCT00912691	A Trial of CM-AT in Children With Autism- Open Label Extension Study	CM-AT	Completed	No Results Available	Autism	Drug: CM-AT	Evidence of changes in behavior scales associated with the core symptoms of autism|Other key measures of behavior and quality of life associated with autism	Curemark	All	9 Years to 12 Years   (Child)	Phase 3	165	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	00102/Autism	January 2010	February 2016	February 2016	June 3, 2009		March 1, 2019	Southwest Autism Research and Resource Center, Phoenix, Arizona, United States|University of California, Davis, M.I.N.D. Institute, Sacramento, California, United States|University of California, San Francisco, San Francisco, California, United States|Neuropsychiatric Research Center of Orange County, Santa Ana, California, United States|Lake Mary Pediatrics, Orange City, Florida, United States|Institute for Behavioral Medicine, Smyrna, Georgia, United States|Alexian Brothers Center for Psychiatric Research, Hoffman Estates, Illinois, United States|Louisiana State University, Shreveport, Louisiana, United States|Saint Peter's University Hospital, New Brunswick, New Jersey, United States|Mount Sinai School of Medicine, Manhattan, New York, United States|University of North Carolina, Chapel Hill, Chapel Hill, North Carolina, United States|Ohio State University, Columbus, Ohio, United States|Oklahoma State University, Child Study Center, Oklahoma City, Oklahoma, United States|Cyn3rgy Research Center, Gresham, Oregon, United States|Hershey Medical Center, Hershey, Pennsylvania, United States|Drexel University, Philadelphia, Pennsylvania, United States|Universtiy of Pittsburgh, Pittsburgh, Pennsylvania, United States|University of Texas, Houston, Houston, Texas, United States|Ericksen Research & Development, Clinton, Utah, United States		https://ClinicalTrials.gov/show/NCT00912691
10	NCT01911442	Lurasidone Pediatric Autism Study		Completed	Has Results	Autism	Drug: Lurasidone 20 mg daily|Drug: Lurasidone|Drug: Placebo	Change in Aberrant Behavior Checklist (ABC) Irritability Subscale Score at Week 6|Change From Baseline in Clinical Global Impression-Severity (CGI-S) at Week 6|Change From Baseline in Aberrant Behavior Checklist (ABC) Hyperactivity Subscale Score at Week 6|Change From Baseline in Children's Yale-Brown Obsessive Compulsive Scales (CY-BOCS) Modified for Pervasive Developmental Disorders (PDDs)|Change From Baseline in the Caregiver Strain Questionnaire (CGSQ)|Proportion of Subjects Who Have CGI-I Score of 1 (Very Much Improved) or 2 (Much Improved) at Week 6|Proportion of Subjects Who Have at Least 25% Reduction From Baseline to Week 6 in the ABC Irritability Subscale Score.	Sunovion	All	6 Years to 17 Years   (Child)	Phase 3	150	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	D1050325	August 2013	November 2014	November 2014	July 30, 2013	February 25, 2016	February 25, 2016	Harmonex Neuroscience Research, Dothan, Alabama, United States|Southwest Autism Research & Resource Center, Phoenix, Arizona, United States|Newport Beach Clinical Research Associates, Newport Beach, California, United States|University of California San Francisco Medical Center, San Francisco, California, United States|Florida Clinical Research Center, LLC, Bradenton, Florida, United States|Sarkis Clinical Trials - Parent, Gainesville, Florida, United States|Palm Springs Research Institute Inc, Hialeah, Florida, United States|Florida Clinical Research Center, LLC, Maitland, Florida, United States|Clinical Neuroscience Solutions, Inc., Orlando, Florida, United States|University of South Florida, Saint Petersburg, Florida, United States|Medical Research Group of Central Florida, Sanford, Florida, United States|University of South Florida, Tampa, Florida, United States|Institute for Behavioral Medicine, LLC, Smyrna, Georgia, United States|Capstone Clinical Research, Inc., Libertyville, Illinois, United States|Baber Research Group, Naperville, Illinois, United States|University of Kentucky, Lexington, Kentucky, United States|Lake Charles Clinical Trials, LLC, Lake Charles, Louisiana, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|NeuroScientific Insights, Rockville, Maryland, United States|Neurobehaviorial Medicine Group, PLLC, Bloomfield Hills, Michigan, United States|Center for Psychiatry and Behavioral Medicine, Inc., Las Vegas, Nevada, United States|Jersey Shore University Medical Center, Neptune, New Jersey, United States|Childrens Specialized Hospital, Toms River, New Jersey, United States|Montefiore Medical Center PRIME, Bronx, New York, United States|Finger Lakes Clinical Research, Rochester, New York, United States|Richmond Behavioral Associates, Staten Island, New York, United States|Chapel Hill Neurology, Chapel Hill, North Carolina, United States|University Hospitals Case Medical Center, Cleveland, Ohio, United States|The Ohio State University Nisonger Center, Columbus, Ohio, United States|Cutting Edge Research Group, Oklahoma City, Oklahoma, United States|Cyn3rgy Research & Development, Gresham, Oregon, United States|Suburban Research Associates, Media, Pennsylvania, United States|Segal Institute for Clinical Research, Charleston, South Carolina, United States|Clinical Neuroscience Solutions, Inc., Memphis, Tennessee, United States|Family Psychiatry of The Woodlands, P.A., The Woodlands, Texas, United States|Ericksen Research & Development, LLC, Clinton, Utah, United States|CRI Lifetree, Salt Lake City, Utah, United States|University of Virginia, Charlottesville, Virginia, United States|Neuroscience, Inc., Herndon, Virginia, United States|Carilion Clinic, Roanake, Virginia, United States|Pacific Institute of Medical Sciences, Bothell, Washington, United States		https://ClinicalTrials.gov/show/NCT01911442
