Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT00065962	Secretin for the Treatment of Autism		Completed	No Results Available	Autism	Drug: secretin, synthetic porcine|Drug: secretin, biologically derived porcine		Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institute on Deafness and Other Communication Disorders (NIDCD)	All	3 Years to 12 Years   (Child)	Phase 3	85	NIH	Interventional	Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Double|Primary Purpose: Treatment	5P01HD035465|NICHD-23|57-937|Supplement CRC99-3|3P01HD035468	June 1999		May 2000	August 5, 2003		June 24, 2005	Children's Hospital, Denver, Colorado, United States|Center on Human Development and Disability, Seattle, Washington, United States		https://ClinicalTrials.gov/show/NCT00065962
2	NCT00065910	Improving Attention Skills of Children With Autism		Completed	No Results Available	Autism	Behavioral: Caregiver joint attention intervention		Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institute of Mental Health (NIMH)	All	12 Months to 36 Months   (Child)	Phase 1|Phase 2	30	NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	R21MH064927	September 2001		January 2006	August 5, 2003		July 2, 2007	University of California, Los Angeles, Los Angeles, California, United States		https://ClinicalTrials.gov/show/NCT00065910
3	NCT00065884	Valproate Response in Aggressive Autistic Adolescents		Unknown status	No Results Available	Autism	Drug: Valproate		Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institute of Mental Health (NIMH)	All	6 Years to 21 Years   (Child, Adult)	Phase 3	30	NIH	Interventional	Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Double|Primary Purpose: Treatment	P30HD002528|K08MH001516				August 5, 2003		June 24, 2005	Outpatient MR/Autism Clinic, University of Kansas, Kansas City, Kansas, United States		https://ClinicalTrials.gov/show/NCT00065884
4	NCT01887132	A Trial of the Drug Donepezil for Sleep Enhancement and Behavioral Change in Children With Autism		Terminated	Has Results	Autism Spectrum Disorders	Drug: Donepezil|Drug: Placebo	Nonverbal Developmental Quotient (NVDQ)|REM Percentage at Baseline, 6, 12 and 18 Months	National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)	All	24 Months to 50 Months   (Child)	Phase 2	5	NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment	130164|13-M-0164	June 2013	December 2015	December 2015	June 26, 2013	September 25, 2017	September 25, 2017	National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States		https://ClinicalTrials.gov/show/NCT01887132
5	NCT01168284	A Coping Effectiveness Training Intervention for Caregivers of Children With Autism Spectrum: A Feasibility Study		Completed	No Results Available	Autism Spectrum Disorders	Behavioral: Coping Effectiveness Training	Feasibility of the intervention	National Human Genome Research Institute (NHGRI)|National Institutes of Health Clinical Center (CC)	All	18 Years to 100 Years   (Adult, Older Adult)	Not Applicable	30	NIH	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Primary Purpose: Other	999910160|10-HG-N160	July 5, 2010	April 4, 2011	May 6, 2011	July 23, 2010		December 17, 2019	Kennedy Krieger Institute, Baltimore, Maryland, United States		https://ClinicalTrials.gov/show/NCT01168284
6	NCT00999778	Optimizing Social and Communication Outcomes for Toddlers With Autism		Completed	No Results Available	Autism Spectrum Disorder	Behavioral: Caregiver-Mediated Intervention|Behavioral: Caregiver-Education Intervention	Cognitive Assessment - Mullen Scales of Early Learning (MSEL)|Language Assessment - Reynell Developmental Language Scales|Language Sample - The Caregiver Child Interaction will be coded at each timepoint to obtain a 10 minute sample of the child's language transcription will yield a measure of lexical density, type-token ration and mean length of utterances|Early Social-Communication Scales; frequencies of initiating and responses of joint attention behaviors to toys and l interaction - sessions will be video taped|MacArthur Communicative Development Inventories|Parent Expectancy/Belief in the Intervention - assesses caregiver beliefs that the intervention is appropriate and working for the child|ADOS - The Autism Diagnostic Observation Schedule - semi-structured, standardized assessment of communication, social interaction, play and imaginative use of materials|Generalization of skills to classroom - Observational measure to determine whether child show generalization of skill to the classroom,and in interaction with teachers & peers|Coding of child behaviors in classroom - using time sampling procedure, four different contexts; direct instruction, structure play, circle-time, unstructured play|Caregiver-child interaction - A 10-minute interaction between parent and child|ADI-R Clinical diagnostic instrument for assessing autism in children|Parenting Stress - The Parenting Stress Index (PSI) measuring parents reported stress associated with the care of autistic child	Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Autism Speaks	All	18 Months to 36 Months   (Child)	Not Applicable	86	NIH|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Care Provider)|Primary Purpose: Treatment	1P50HD055784	July 2008	July 2012	August 2012	October 22, 2009		August 16, 2012	University of California Los Angeles, Los Angeles, California, United States		https://ClinicalTrials.gov/show/NCT00999778
7	NCT04798274	Role of GABAergic Transmission in Auditory Processing in Autism Spectrum Disorder		Recruiting	No Results Available	Autism Spectrum Disorder	Device: Continuous Theta Burst Stimulation	MRS|MEG|fcMRI|DTI|Neuropsychological Assessments	National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)	All	14 Years to 25 Years   (Child, Adult)	Not Applicable	106	NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science	200159|20-M-0159	June 15, 2021	June 30, 2024	June 30, 2024	March 15, 2021		August 22, 2022	National Institutes of Health Clinical Center, Bethesda, Maryland, United States		https://ClinicalTrials.gov/show/NCT04798274
8	NCT01093768	Brain Imaging Study of Adults With Autism Spectrum Disorders		Completed	No Results Available	Autism Spectrum Disorders	Drug: Oxytocin|Drug: Vasopressin	Changes in brain activations|Performance scores and reaction time on behavioral tasks	National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)	All	18 Years to 40 Years   (Adult)	Phase 1	38	NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Primary Purpose: Diagnostic	100068|10-M-0068	February 19, 2010	April 11, 2013	April 11, 2013	March 26, 2010		December 17, 2019	National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States		https://ClinicalTrials.gov/show/NCT01093768
9	NCT02998684	Learning Enhancement Through Neurostimulation in Autism	LENS	Completed	Has Results	Autism	Device: Active Transcranial Direct Current Stimulation|Device: Sham Transcranial Direct Current Stimulation|Behavioral: PEERS Social Skills Training	Test of Adolescent Social Skills Knowledge (TASSK)|Social Responsiveness Scale (SRS)	Medical University of South Carolina|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	14 Years to 17 Years   (Child)	Not Applicable	25	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	Pro00056912	July 2016	July 2017	July 2017	December 20, 2016	September 4, 2018	September 4, 2018	Medical Univeristy of South Carolina, Charleston, South Carolina, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/84/NCT02998684/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT02998684
10	NCT00409747	Minocycline to Treat Childhood Regressive Autism		Completed	Has Results	Autism|Minocycline|Regressive Autism	Drug: Minocycline	z Score|Clinical Global Impressions Scale-Severity (CGI). (Connors & Barkley, 1985)	National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)	All	3 Years to 12 Years   (Child)	Phase 4	11	NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	070024|07-M-0024	November 2006	June 2010	April 2011	December 11, 2006	December 11, 2015	December 11, 2015	Childrens National Medical Center, Washington, District of Columbia, United States|National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States		https://ClinicalTrials.gov/show/NCT00409747
